"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",254.503646847522,-0.318886025620823,0.420587921338421,-0.758191116392606,0.448336578642255,0.682328849358585
"10",2.2225829375769,2.08716758683284,1.74563682514208,1.19564823379741,0.231833860365997,NA
"100",15.7776785371304,0.0411771017558399,0.709364137193442,0.0580479045906588,0.953710470483997,NA
"1000",87.4466860702999,1.32868634878871,0.711309997853696,1.86794274338598,0.0617700521646994,0.356824351810718
"10000",50.0053807870637,0.627436262726485,0.576565693046591,1.08823030973469,0.276493447278253,NA
"100008586",0,NA,NA,NA,NA,NA
"100008587",0,NA,NA,NA,NA,NA
"100008588",0,NA,NA,NA,NA,NA
"100008589",0,NA,NA,NA,NA,NA
"100009613",1.86899922348442,0.252621462081729,1.70550373694682,0.148121318417027,0.882247025358674,NA
"100009676",17.5881501727578,-0.301124607373719,0.664033563755726,-0.453477992393306,0.650204587026671,NA
"10001",271.875003418287,0.192948457026969,0.473625865958772,0.407385809971293,0.683724647353877,0.835247881410553
"10002",5.43596303075543,0.829030891730886,1.00684281875857,0.823396538451826,0.410282530899478,NA
"10003",10.6788694778456,1.52789683247088,1.01383355112121,1.50704899318154,0.131798099573526,NA
"100033413",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100033414",13.1474524960653,0.0215158293129086,0.984301286666088,0.0218589872881144,0.982560440353897,NA
"100033415",0,NA,NA,NA,NA,NA
"100033416",0.455792261626821,-0.479417588426409,3.12122561258429,-0.153599145955189,0.877925810377201,NA
"100033417",0,NA,NA,NA,NA,NA
"100033418",1.2578452880906,0.154919756701988,1.84767924867037,0.0838455899818498,0.933179200046429,NA
"100033419",0,NA,NA,NA,NA,NA
"100033420",1.8965785209116,-1.68192569054327,1.89879836950222,-0.885784250480581,0.375733798280176,NA
"100033421",0,NA,NA,NA,NA,NA
"100033422",0.505371095589116,0.768176726807391,2.99158244709004,0.256779393646533,0.797349078318725,NA
"100033423",0,NA,NA,NA,NA,NA
"100033424",0.355695010345115,-0.643925506442847,3.77169094175646,-0.170725946634157,0.864439259886691,NA
"100033425",1.2554234560999,1.81533924757896,2.26898941710711,0.80006510118212,0.423673079623941,NA
"100033426",0.524439931420736,0.129914490832643,3.33597419009404,0.0389434939929737,0.968935439660913,NA
"100033427",0,NA,NA,NA,NA,NA
"100033428",0,NA,NA,NA,NA,NA
"100033429",0.0916641064157593,0.65472488673851,4.07324214398997,0.160738022340398,0.872299741293492,NA
"100033430",2.68478435901463,-2.63789920480881,1.68280567097523,-1.56756020633094,0.116983805136448,NA
"100033431",1.85228677703184,-2.75375478568644,1.85791879060463,-1.48217177177603,0.138294595522678,NA
"100033432",0.341111718589218,-1.35738027785788,4.06378017349985,-0.334019120106309,0.738365130709346,NA
"100033433",0.432775825004977,-0.432165558635892,3.56767165600361,-0.121133781442206,0.903585072458398,NA
"100033434",0,NA,NA,NA,NA,NA
"100033435",0.594690686743785,1.34675797139915,2.63763053149104,0.510593866472207,0.609635471614179,NA
"100033436",0.345320391299934,0.558474731460101,3.43450865394341,0.162606878517798,0.870827970806629,NA
"100033437",0,NA,NA,NA,NA,NA
"100033438",1.73564896037049,-0.95475459642574,1.80078730738245,-0.530187320019227,0.595982061628847,NA
"100033439",0.151617559423235,0.798520679423358,4.06835036396453,0.196276281044097,0.844393925287349,NA
"100033440",0,NA,NA,NA,NA,NA
"100033441",0,NA,NA,NA,NA,NA
"100033442",0,NA,NA,NA,NA,NA
"100033443",0,NA,NA,NA,NA,NA
"100033444",0,NA,NA,NA,NA,NA
"100033445",0,NA,NA,NA,NA,NA
"100033446",0,NA,NA,NA,NA,NA
"100033447",0.170425323334363,-1.35738027785788,4.06378017349985,-0.334019120106309,0.738365130709346,NA
"100033448",0,NA,NA,NA,NA,NA
"100033449",0,NA,NA,NA,NA,NA
"100033450",0,NA,NA,NA,NA,NA
"100033451",0,NA,NA,NA,NA,NA
"100033453",0,NA,NA,NA,NA,NA
"100033454",0,NA,NA,NA,NA,NA
"100033455",0,NA,NA,NA,NA,NA
"100033456",0,NA,NA,NA,NA,NA
"100033458",0,NA,NA,NA,NA,NA
"100033460",0,NA,NA,NA,NA,NA
"100033603",0.151617559423235,0.798520679423358,4.06835036396453,0.196276281044097,0.844393925287349,NA
"100033799",0,NA,NA,NA,NA,NA
"100033800",0,NA,NA,NA,NA,NA
"100033801",0,NA,NA,NA,NA,NA
"100033802",0,NA,NA,NA,NA,NA
"100033803",0,NA,NA,NA,NA,NA
"100033804",0,NA,NA,NA,NA,NA
"100033805",0,NA,NA,NA,NA,NA
"100033806",0,NA,NA,NA,NA,NA
"100033807",0,NA,NA,NA,NA,NA
"100033808",0,NA,NA,NA,NA,NA
