Geneid	SRR3617193	SRR3617194	SRR3617195	SRR3617196	SRR3617202	SRR3617214
1	152	244	120	574	359	281
10	3	1	0	2	12	0
100	4	14	9	24	32	26
1000	144	104	11	32	160	80
10000	51	63	9	55	99	58
100008586	0	0	0	0	0	0
100008587	0	0	0	0	0	0
100008588	0	0	0	0	0	0
100008589	0	0	0	0	0	0
100009613	3	1	1	3	0	2
100009676	14	13	14	27	21	16
10001	163	341	129	244	510	379
10002	4	7	1	4	14	8
10003	20	4	0	18	28	4
100033413	0	0	0	0	1	0
100033414	22	12	10	10	3	6
100033415	0	0	0	0	0	0
100033416	0	1	0	1	2	0
100033417	0	0	0	0	0	0
100033418	1	1	1	1	1	2
100033419	0	0	0	0	0	0
100033420	2	1	3	2	0	0
100033421	0	0	0	0	0	0
100033422	0	1	0	0	2	1
100033423	0	0	0	0	0	0
100033424	0	0	0	2	0	1
100033425	3	0	0	2	0	2
100033426	0	0	1	0	2	0
100033427	0	0	0	0	0	0
100033428	0	0	0	0	0	0
100033429	0	0	0	0	1	0
100033430	0	0	3	13	2	1
100033431	0	1	2	8	2	0
100033432	0	0	1	0	0	0
100033433	0	0	1	0	1	0
100033434	0	0	0	0	0	0
100033435	1	0	0	1	1	1
100033436	0	0	0	1	1	1
100033437	0	0	0	0	0	0
100033438	0	0	1	8	3	2
100033439	0	0	0	0	0	1
100033440	0	0	0	0	0	0
100033441	0	0	0	0	0	0
100033442	0	0	0	0	0	0
100033443	0	0	0	0	0	0
100033444	0	0	0	0	0	0
100033445	0	0	0	0	0	0
100033446	0	0	0	0	0	0
100033447	0	1	0	0	0	0
100033448	0	0	0	0	0	0
100033449	0	0	0	0	0	0
100033450	0	0	0	0	0	0
100033451	0	0	0	0	0	0
100033453	0	0	0	0	0	0
100033454	0	0	0	0	0	0
100033455	0	0	0	0	0	0
100033456	0	0	0	0	0	0
100033458	0	0	0	0	0	0
100033460	0	0	0	0	0	0
100033603	0	0	0	0	0	1
100033799	0	0	0	0	0	0
100033800	0	0	0	0	0	0
100033801	0	0	0	0	0	0
100033802	0	0	0	0	0	0
100033803	0	0	0	0	0	0
100033804	0	0	0	0	0	0
100033805	0	0	0	0	0	0
100033806	0	0	0	0	0	0
100033807	0	0	0	0	0	0
100033808	0	0	0	0	0	0
100033809	0	0	0	0	0	0
100033810	0	0	0	0	0	0
100033811	0	0	0	0	0	0
100033812	0	0	0	0	0	0
100033813	0	0	0	0	0	0
100033814	0	0	0	0	0	0
100033815	0	0	0	0	0	0
100033816	0	0	0	0	0	0
100033817	0	0	0	0	0	0
100033818	0	1	0	0	0	0
100033819	0	0	0	0	0	0
100033820	0	0	0	1	0	1
100033821	1	1	0	0	1	0
100033822	0	1	0	0	2	0
100036519	0	0	0	0	0	0
100036563	0	0	0	0	0	0
100036564	0	0	0	0	0	0
100036565	0	0	0	0	0	0
100036566	0	0	0	0	0	0
100036567	0	0	0	0	2	0
100037417	2	5	4	20	12	11
100038246	0	0	0	0	0	0
10004	27	53	23	218	119	70
100048912	5	13	3	13	45	22
100049076	3	4	4	16	8	7
100049587	9	2	7	2	4	0
100049615	0	0	0	0	0	0
100049716	28	71	14	71	148	108
10005	160	198	398	1334	474	254
10006	333	654	462	674	1057	714
10007	1043	1341	1133	2599	2063	1465
100073347	2	2	0	8	10	7
10008	13	53	8	104	91	59
10009	72	97	25	45	144	88
100093630	1247	1635	1306	1639	1981	1510
100093631	7	5	2	9	11	12
1001	13	34	124	224	55	36
10010	321	621	156	470	1251	779
100101115	0	0	0	0	0	0
100101116	0	0	0	0	0	0
100101117	0	0	0	0	0	0
100101118	0	0	0	0	0	0
100101120	0	0	0	0	0	0
100101121	0	0	0	0	0	0
100101266	2	1	1	4	4	2
100101267	45	78	50	193	106	59
100101467	94	125	30	173	217	135
100101490	13	17	1	10	25	12
100101938	4	1	0	0	10	0
10011	678	1319	1346	2909	2053	1614
100113378	0	0	1	0	0	0
100113379	1	0	0	0	2	0
100113380	0	0	0	0	1	0
100113381	1	3	0	0	6	1
100113382	0	0	0	0	0	0
100113384	0	0	0	0	0	0
100113385	0	0	0	0	0	1
100113386	6	9	1	24	10	11
100113389	0	0	0	0	0	0
100113390	0	0	0	0	0	0
100113391	0	0	0	0	1	0
100113392	2	1	1	1	5	1
100113393	0	0	1	0	0	1
100113402	1	1	0	0	0	0
100113407	25	37	7	6	76	40
100124412	0	0	0	0	1	0
100124516	1	0	0	1	3	1
100124533	0	0	0	0	1	1
100124534	2	5	2	23	27	11
100124535	0	0	0	0	1	0
100124536	0	0	0	0	0	1
100124537	0	0	0	4	1	1
100124538	0	1	0	0	1	2
100124539	0	0	0	0	1	0
100124540	0	0	0	0	2	0
100124541	0	1	0	1	1	0
100124542	0	1	0	0	1	0
100124692	2	6	0	8	25	6
100124700	1	0	0	0	0	0
100125288	2	4	1	13	12	4
100125556	8	5	16	27	20	5
100126270	2	1	3	0	2	3
100126296	0	0	0	0	0	0
100126297	0	1	0	4	8	0
100126299	2	15	18	6	13	14
100126300	0	0	0	0	0	0
100126301	0	0	0	0	0	0
100126302	0	0	0	0	0	0
100126303	0	0	0	0	0	0
100126304	0	0	0	0	0	0
100126306	0	0	0	0	0	0
100126307	0	0	0	0	0	0
100126308	0	0	0	0	0	0
100126309	0	0	0	0	1	0
100126310	0	0	0	1	0	1
100126311	0	0	0	0	0	0
100126313	1	0	0	1	0	0
100126314	0	0	0	0	0	0
100126315	0	0	0	0	0	0
100126316	1	0	0	0	1	0
100126317	3	1	1	4	11	5
100126318	0	0	0	0	0	0
100126319	0	0	0	0	0	0
100126320	0	0	0	0	3	0
100126321	0	0	0	0	0	0
100126323	0	0	0	0	0	0
100126324	0	0	0	0	0	0
100126325	0	0	0	0	0	0
100126326	0	0	0	0	0	0
100126327	0	0	0	1	0	0
100126328	1	0	0	2	0	0
100126329	0	0	0	0	0	0
100126331	0	0	0	0	0	0
100126332	0	0	0	0	0	0
100126333	0	0	0	0	0	0
100126334	0	0	0	0	0	0
100126335	0	0	0	0	0	0
100126336	0	0	0	0	0	0
100126337	0	0	0	0	0	0
100126338	0	0	0	0	0	0
100126339	0	0	0	0	0	0
100126340	0	0	0	0	0	0
100126341	0	0	0	0	0	0
100126342	0	0	0	0	0	0
100126343	0	0	0	0	0	0
100126344	0	0	0	0	1	0
100126345	0	0	0	0	0	0
100126346	0	0	0	0	0	0
100126347	0	0	0	0	0	0
100126348	0	0	0	0	1	0
100126349	0	0	0	0	0	0
100126350	0	0	0	1	0	0
100126351	0	0	0	0	0	0
100126354	0	0	0	0	0	0
100126355	0	0	0	0	0	0
100126356	0	0	0	0	0	0
100126447	1	0	0	0	1	0
100126582	1	0	0	2	0	1
100126693	0	0	0	1	0	0
100126780	2	1	1	2	1	2
100126781	0	0	0	0	0	0
100126784	4	4	9	17	9	7
100126791	12	7	16	42	41	23
100126793	6	7	5	30	14	2
100126798	1	0	0	0	0	0
100126799	0	2	1	1	0	0
100126800	0	0	0	0	0	0
100127206	1	0	0	0	3	0
100127885	0	3	0	2	5	1
100127888	0	0	1	0	2	1
100127889	0	0	0	0	10	3
100127891	21	25	3	28	59	24
100127909	11	5	1	4	24	1
100127910	3	0	2	0	12	0
100127919	0	0	0	0	1	0
100127946	0	0	0	0	1	0
100127950	0	0	0	0	4	1
100127961	0	0	1	0	0	0
100127974	9	7	0	7	14	5
100127983	24	51	21	48	89	42
100127987	0	1	0	1	0	0
100128002	0	1	1	1	0	3
100128003	15	20	6	45	46	17
100128023	0	0	0	0	2	2
100128028	0	3	1	0	2	1
100128031	0	0	0	0	0	0
100128054	2	1	0	8	14	3
100128055	0	0	0	0	1	0
100128059	1	2	3	0	5	2
100128064	0	0	1	5	3	2
100128071	2	0	1	2	0	2
100128076	2	0	0	0	3	2
100128077	5	12	16	8	20	12
100128081	5	4	1	6	7	4
100128095	0	0	1	0	0	0
100128098	2	0	0	0	1	6
100128105	0	0	0	2	0	0
100128124	0	0	1	0	0	0
100128130	8	8	14	20	20	12
100128131	0	0	0	0	1	0
100128139	1	5	0	2	2	1
100128155	0	1	3	5	0	1
100128160	0	0	0	0	4	0
100128164	0	2	3	1	5	2
100128174	0	0	0	0	0	0
100128191	8	18	3	10	29	14
100128239	4	8	5	10	8	7
100128242	0	0	0	0	0	0
100128252	221	488	221	514	739	549
100128253	0	0	0	0	0	0
100128254	1	0	0	0	0	0
100128256	0	0	0	0	0	0
100128260	0	0	0	0	0	0
100128262	1	0	0	0	3	2
100128264	0	1	0	0	5	0
100128270	0	0	0	0	0	0
100128276	1	5	0	4	8	4
100128278	4	1	2	15	12	2
100128285	7	4	0	5	2	4
100128288	11	11	6	19	16	12
100128292	9	18	1	6	11	10
100128300	5	13	38	10	13	9
100128302	14	10	16	52	17	12
100128304	1	0	0	1	0	1
100128310	1	0	1	1	0	0
100128326	0	0	0	0	0	0
100128327	0	0	0	0	11	0
100128334	0	1	0	0	3	1
100128338	17	13	13	31	17	19
100128340	61	69	21	297	207	82
100128342	5	7	6	9	10	7
100128343	3	0	1	1	5	3
100128346	0	0	1	1	0	0
100128355	8	3	0	1	9	4
100128361	2	0	4	7	1	1
100128364	2	1	0	4	3	2
100128371	0	0	0	0	0	0
100128374	0	0	0	1	0	1
100128378	0	0	0	0	1	0
100128385	0	0	0	1	0	0
100128398	32	26	28	43	68	34
100128406	2	4	0	9	23	7
100128460	2	3	3	10	5	0
100128482	0	0	0	1	1	0
100128496	0	0	0	0	4	0
100128505	0	1	0	0	8	1
100128508	3	1	2	7	12	4
100128511	0	1	0	0	1	2
100128542	2	1	2	3	5	2
100128553	0	0	0	1	0	1
100128554	0	0	1	0	7	2
100128563	1	0	1	3	0	2
100128569	1	0	2	8	0	4
100128573	4	0	2	7	4	1
100128574	1	0	1	1	0	1
100128590	27	20	2	16	33	29
100128593	0	0	0	0	1	0
100128596	3	2	2	5	8	3
100128640	5	2	1	1	8	4
