"hgnc_symbol","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","description","Diabetes_Study_HitCount"
"PIGR",5284,5204.77088852697,3.08000101189134,0.661510373173771,4.65601317348089,3.22391314868939e-06,0.0105906157613391,"ENSG00000162896","polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]",40
"KRT8",3856,28199.7043468113,-3.604907302,0.809009861288809,-4.455949766,8.35225897348795e-06,0.0152946566322511,"ENSG00000170421","keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]",35
"KRT7",3855,2326.29620152207,-2.934529095,0.719217022047038,-4.080171917,4.50024052482033e-05,0.029431573032325,"ENSG00000135480","keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]",32
"EIF3CL",728689,91.9410688701267,-3.131437139,0.683565017614516,-4.581037734,4.6267434518738e-06,0.0105906157613391,"ENSG00000205609","eukaryotic translation initiation factor 3 subunit C like [Source:HGNC Symbol;Acc:HGNC:26347]",26
"KRT80",144501,190.546057279046,-3.051127646,0.773583122195598,-3.944149708,8.00836193964044e-05,0.0355637586820713,"ENSG00000167767","keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]",23
"GPRC5A",9052,1675.23934632082,-3.396229856,0.862043058829977,-3.939745029,8.15682538579617e-05,0.0355637586820713,"ENSG00000013588","G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]",18
"LAMB3",3914,645.635555543217,-3.318504865,0.820204905644099,-4.045946131,5.21122165954309e-05,0.0310547583357579,"ENSG00000196878","laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]",18
"DPEP1",1800,241.808259598007,-3.031755966,0.783639454065833,-3.868814862,0.000109365642336202,0.0424895662035793,"ENSG00000015413","dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]",17
"TRAF1",7185,199.628427362261,-3.279483674,0.85485652039788,-3.836297198,0.000124903246198939,0.0450238972636069,"ENSG00000056558","TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]",15
"TUBB3",10381,352.792742050491,-2.984760487,0.696016149917202,-4.28834947,1.80005725822505e-05,0.0183125825070095,"ENSG00000258947","tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]",14
"IL32",9235,12445.0939881015,-2.344904553,0.624396086249755,-3.755476059,0.000173012299829499,0.0497201632765932,"ENSG00000008517","interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]",13
"CD44",960,15342.2341054489,-3.065792013,0.811107127623206,-3.779762141,0.000156978247271041,0.0479097610671217,"ENSG00000026508","CD44 molecule (IN blood group) [Source:HGNC Symbol;Acc:HGNC:1681]",11
