"hgnc_symbol","log2FoldChange","padj","Diabetes_Study_HitCount","description"
"KRT8",-3.604907302,0.0152946566322511,35,"keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]"
"PIGR",3.08000101189134,0.0105906157613391,40,"polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]"
"KRT7",-2.934529095,0.029431573032325,32,"keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]"
"EIF3CL",-3.131437139,0.0105906157613391,26,"eukaryotic translation initiation factor 3 subunit C like [Source:HGNC Symbol;Acc:HGNC:26347]"
"KRT80",-3.051127646,0.0355637586820713,23,"keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]"
"GPRC5A",-3.396229856,0.0355637586820713,18,"G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]"
"LAMB3",-3.318504865,0.0310547583357579,18,"laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]"
"DPEP1",-3.031755966,0.0424895662035793,17,"dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]"
"TRAF1",-3.279483674,0.0450238972636069,15,"TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]"
"TUBB3",-2.984760487,0.0183125825070095,14,"tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]"
